month,Flavored Malt Bvg,Other,Lager,Ale,Domestic,Imported,Special Order
Jan 2020,577004.44,102732.51,385643.13,1980386.1800000002,183070.34,18250.69,82693.1
Feb 2020,444083.12,81634.14,310258.05,1685567.9099999997,151148.55,10900.94999999999,69127.21
Mar 2020,485306.98,101741.7,284765.38,1657892.33,144842.89,9924.680000000002,50846.7
Apr 2020,640845.47,111926.59,279647.08,1486579.47,142005.82,11386.720000000001,19639.24
May 2020,642218.73,105688.76,257504.59999999998,1336937.21,128667.77,10632.619999999999,28298.73
June 2020,717150.76,116229.14,291008.45,1511718.9699999997,143386.6,13092.140000000001,44649.2
July 2020,721537.63,120091.66,292629.41000000003,1531153.7200000002,149815.21,11581.43,38357.7
Aug 2020,570116.85,104439.35,237368.83999999997,1312035.8699999999,126489.25,9061.160000000002,47552.78
Sep 2020,436600.45,117939.72,250071.68,1377823.7300000002,122282.12,15701.359999999999,49330.53
